date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,2,0,0,0
2020-02-12,2,0,0,0
2020-02-13,2,0,0,0
2020-02-14,2,0,0,0
2020-02-15,2,0,0,0
2020-02-16,2,0,0,0
2020-02-17,2,0,0,0
2020-02-18,2,0,0,0
2020-02-19,2,0,0,0
2020-02-20,4,0,0,0
2020-02-21,4,0,0,0
2020-02-22,4,0,0,0
2020-02-23,4,0,0,0
2020-02-24,4,0,0,0
2020-02-25,5,0,0,0
2020-02-26,5,0,0,0
2020-02-27,10,0,0,0
2020-02-28,19,0,0,0
2020-02-29,19,0,0,0
2020-03-01,19,0,0,0
2020-03-02,24,0,0,0
2020-03-03,31,1,0,0
2020-03-04,37,1,0,0
2020-03-05,44,1,0,0
2020-03-06,54,2,0,0
2020-03-07,62,8,0,0
2020-03-08,88,12,0,1
2020-03-09,100,12,0,1
2020-03-10,136,17,0,1
2020-03-11,166,19,0,1
2020-03-12,207,19,0,1
2020-03-13,289,31,0,2
2020-03-14,338,34,1,2
2020-03-15,417,45,1,2
2020-03-16,515,56,1,2
2020-03-17,635,68,3,2
2020-03-18,824,79,3,2
2020-03-19,961,97,3,3
2020-03-20,1173,128,3,3
2020-03-21,1464,158,3,4
2020-03-22,1682,266,3,4
2020-03-23,1940,301,3,4
2020-03-24,2328,387,52,6
2020-03-25,2769,387,52,8
2020-03-26,3251,502,63,9
2020-03-27,3612,589,72,13
2020-03-28,4023,690,72,18
2020-03-29,4645,745,72,19
2020-03-30,5176,820,228,23
2020-03-31,5763,1054,240,27
2020-04-01,6690,1054,248,28
2020-04-02,7976,1133,256,36
2020-04-03,9224,1265,266,39
2020-04-04,10314,1451,279,43
2020-04-05,11133,1451,280,44
2020-04-06,12223,1554,325,48
2020-04-07,13605,1628,338,56
2020-04-08,15142,1715,358,63
2020-04-09,16579,1795,365,72
2020-04-10,17819,1975,375,82
2020-04-11,19154,1975,440,83
2020-04-12,20221,2142,468,90
2020-04-13,21631,2208,515,97
2020-04-14,23295,2277,559,102
2020-04-15,24985,2443,596,111
2020-04-16,26711,2571,631,115
2020-04-17,28412,2669,666,123
2020-04-18,30049,2758,685,129
2020-04-19,31225,2839,709,132
2020-04-20,33031,2941,737,136
2020-04-21,35301,3031,840,147
2020-04-22,37299,3144,872,152
2020-04-23,39479,3435,919,165
2020-04-24,41929,3607,976,176
2020-04-25,43985,3780,1030,185
2020-04-26,45396,3892,1107,192
2020-04-27,47177,4003,1140,197
2020-04-28,49279,4127,1162,207
2020-04-29,51665,4285,1192,214
2020-04-30,53841,4428,1256,218
2020-05-01,55810,4532,1292,225
2020-05-02,57306,4681,1320,237
2020-05-03,58627,4783,1354,246
2020-05-04,60500,4887,1442,260
2020-05-05,62842,5020,1472,264
2020-05-06,65004,5208,1524,273
2020-05-07,67273,5371,1601,282
2020-05-08,69343,5611,1659,293
2020-05-09,71282,5776,1728,300
2020-05-10,72709,6034,1757,305
2020-05-11,75061,6278,1837,314
2020-05-12,77501,6563,1862,319
2020-05-13,80233,6879,2266,329
2020-05-14,82761,7134,2385,353
2020-05-15,85562,7479,2497,356
2020-05-16,88002,7805,2534,363
2020-05-17,89808,8068,2569,373
2020-05-18,92576,8371,2625,382
2020-05-19,96352,8809,2872,393
2020-05-20,100005,9283,2933,403
2020-05-21,103903,9931,3032,416
2020-05-22,107875,10649,3062,433
2020-05-23,110849,11353,3530,445
2020-05-24,113273,12076,3732,452
2020-05-25,116217,12628,3999,467
2020-05-26,119608,13228,4167,484
2020-05-27,123569,13933,4349,500
2020-05-28,127709,14702,4617,508
2020-05-29,132189,15419,4788,520
2020-05-30,135691,16214,4788,528
2020-05-31,138223,16851,5336,539
2020-06-01,141785,17415,5521,556
2020-06-02,145781,18319,5709,569
2020-06-03,150316,19268,5896,583
2020-06-04,154465,20197,5993,608
2020-06-05,158986,21037,6088,632
2020-06-06,163225,22020,6180,648
2020-06-07,165637,22794,6909,664
2020-06-08,169913,23620,7305,693
2020-06-09,174764,24761,7568,717
2020-06-10,179924,25987,7991,735
2020-06-11,185423,27373,8332,765
2020-06-12,191567,28764,8743,785
2020-06-13,197152,30295,9083,815
2020-06-14,200845,31577,9564,833
2020-06-15,204979,32785,9891,854
2020-06-16,210289,34159,10174,878
2020-06-17,216813,35552,10512,913
2020-06-18,223751,37510,10721,948
2020-06-19,230817,39570,11851,979
2020-06-20,237867,41204,12206,992
2020-06-21,242266,42785,12728,1011
2020-06-22,248826,44931,13153,1043
2020-06-23,256801,47203,13576,1078
2020-06-24,264582,49851,13816,1116
2020-06-25,273028,52457,14788,1150
2020-06-26,281784,55343,18416,1184
2020-06-27,289043,57744,19143,1207
2020-06-28,293742,59933,20134,1232
2020-06-29,300878,62268,21138,1280
2020-06-30,308666,64530,22028,1307
2020-07-01,316511,67197,23040,1351
2020-07-02,324324,69941,24186,1385
2020-07-03,333016,72786,25224,1437
2020-07-04,341531,75376,25930,1481
2020-07-05,346713,77815,27597,1507
2020-07-06,354261,80447,28531,1582
2020-07-07,363138,83426,30095,1644
2020-07-08,373573,87030,36502,1694
2020-07-09,383195,90693,38313,1720
2020-07-10,391961,94060,38984,1774
2020-07-11,400310,97509,41408,1810
2020-07-12,405918,100166,42694,1845
2020-07-13,414668,103265,44173,1903
2020-07-14,425323,106910,45467,1968
2020-07-15,436240,111146,47298,2050
2020-07-16,447081,114783,49120,2112
2020-07-17,459163,119301,49780,2178
2020-07-18,469676,122524,52607,2220
2020-07-19,476949,126755,54105,2260
2020-07-20,487959,130774,55913,2373
2020-07-21,500641,136118,58598,2490
2020-07-22,514354,141900,60531,2588
2020-07-23,527856,148027,62815,2702
2020-07-24,542055,153520,65447,2807
2020-07-25,553710,158334,68022,2893
2020-07-26,561679,162526,70518,2939
2020-07-27,573836,167416,72575,3059
2020-07-28,588589,173355,75083,3179
2020-07-29,603629,178996,77855,3288
2020-07-30,618311,185373,80596,3441
2020-07-31,634214,191302,83780,3543
2020-08-01,646291,196543,86499,3596
2020-08-02,656838,201919,89026,3648
2020-08-03,670579,206743,91302,3813
2020-08-04,687230,213535,94129,3979
2020-08-05,704826,220682,96948,4106
2020-08-06,722691,228195,99852,4251
2020-08-07,740814,235677,103297,4411
2020-08-08,756178,241811,108242,4523
2020-08-09,766235,246499,108242,4606
2020-08-10,782498,253868,108242,4764
2020-08-11,801782,260911,181389,5004
2020-08-12,820897,268574,187283,5213
2020-08-13,839502,276072,192434,5362
2020-08-14,858576,282437,199005,5527
2020-08-15,875094,289100,205697,5637
2020-08-16,885070,294569,211702,5703
2020-08-17,897868,299126,217850,5814
2020-08-18,913668,305966,223531,6048
2020-08-19,931816,312659,228725,6330
2020-08-20,950877,320884,233651,6517
2020-08-21,969927,329043,239806,6730
2020-08-22,986127,336802,245781,6848
2020-08-23,996633,342154,251400,6985
2020-08-24,1014260,350867,256789,7366
2020-08-25,1033799,359638,263202,7563
2020-08-26,1055155,370188,268801,7839
2020-08-27,1077109,380292,274458,8050
2020-08-28,1098597,392009,280165,8271
2020-08-29,1116091,401239,287220,8353
2020-08-30,1129686,408426,294007,8457
2020-08-31,1147925,417735,301195,8660
2020-09-01,1169241,428239,308376,8919
2020-09-02,1190516,439172,315530,9118
2020-09-03,1212379,451198,322461,9361
2020-09-04,1234363,461882,331621,9623
2020-09-05,1253919,471806,340381,9739
2020-09-06,1266430,478792,349132,9859
2020-09-07,1286269,488007,357388,10129
2020-09-08,1309493,500034,366590,10405
2020-09-09,1334360,512293,382490,10658
2020-09-10,1358395,524198,390098,10907
2020-09-11,1383866,535705,400121,11148
2020-09-12,1403447,546481,409771,11263
2020-09-13,1416822,555537,419513,11352
2020-09-14,1437770,565446,428953,11667
2020-09-15,1460269,577338,438883,11852
2020-09-16,1483689,589012,448263,12116
2020-09-17,1507639,601713,456347,12460
2020-09-18,1531823,613658,467286,12656
2020-09-19,1550447,622934,478077,12799
2020-09-20,1561785,631365,488231,13053
2020-09-21,1580353,640147,508563,13482
2020-09-22,1602031,652174,517228,13952
2020-09-23,1625191,664799,525486,14376
2020-09-24,1647669,678266,536589,14766
2020-09-25,1670703,691235,546924,15208
2020-09-26,1687729,702484,556489,15543
2020-09-27,1699605,711325,565935,15749
2020-09-28,1718833,723132,576715,16113
2020-09-29,1741948,736609,585857,16519
2020-09-30,1764574,751001,594645,16937
2020-10-01,1785831,765002,603140,20288
2020-10-02,1807227,779689,614515,20599
