date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,1,0,0
2020-01-23,0,1,0,0
2020-01-24,0,2,0,0
2020-01-25,0,2,0,0
2020-01-26,0,5,0,0
2020-01-27,0,5,0,0
2020-01-28,0,5,0,0
2020-01-29,0,6,0,0
2020-01-30,0,6,0,0
2020-01-31,0,8,0,0
2020-02-01,0,8,0,0
2020-02-02,0,8,0,0
2020-02-03,0,11,0,0
2020-02-04,0,11,0,0
2020-02-05,0,11,0,0
2020-02-06,0,12,0,0
2020-02-07,0,12,0,0
2020-02-08,0,12,0,0
2020-02-09,0,12,3,0
2020-02-10,0,12,3,0
2020-02-11,0,13,3,0
2020-02-12,0,13,3,0
2020-02-13,0,14,3,0
2020-02-14,0,14,3,0
2020-02-15,0,14,3,0
2020-02-16,0,14,3,0
2020-02-17,0,14,3,0
2020-02-18,0,14,3,0
2020-02-19,0,14,3,0
2020-02-20,0,14,3,0
2020-02-21,0,16,5,0
2020-02-22,0,16,5,0
2020-02-23,0,16,5,0
2020-02-24,0,16,5,0
2020-02-25,0,16,6,0
2020-02-26,0,16,6,0
2020-02-27,0,17,6,0
2020-02-28,0,17,7,0
2020-02-29,0,25,7,1
2020-03-01,130,32,7,1
2020-03-02,473,55,7,6
2020-03-03,1198,74,7,7
2020-03-04,2040,107,7,11
2020-03-05,3013,184,7,12
2020-03-06,4330,237,7,14
2020-03-07,5655,403,7,17
2020-03-08,7071,519,7,21
2020-03-09,9096,594,7,22
2020-03-10,11769,782,8,28
2020-03-11,15626,1147,8,33
2020-03-12,22655,1586,12,43
2020-03-13,32622,2219,12,51
2020-03-14,43199,2978,12,58
2020-03-15,55202,3212,12,70
2020-03-16,78252,4679,17,97
2020-03-17,114455,6511,17,132
2020-03-18,161419,9165,105,191
2020-03-19,218071,13659,121,265
2020-03-20,286396,20026,147,364
2020-03-21,355102,26022,176,463
2020-03-22,418411,34824,178,573
2020-03-23,489677,46043,178,762
2020-03-24,582032,56620,348,1001
2020-03-25,683552,68654,361,1325
2020-03-26,796973,86548,681,1733
2020-03-27,916246,105179,869,2253
2020-03-28,1024374,124786,1072,2886
2020-03-29,1123116,143715,2665,3472
2020-03-30,1232395,165728,5644,4164
2020-03-31,1359983,192091,7024,5249
2020-04-01,1495446,217910,8474,6421
2020-04-02,1637600,248302,9001,7924
2020-04-03,1788597,280302,9707,9316
2020-04-04,1923841,313303,14652,10839
2020-04-05,2052723,341487,17448,12429
2020-04-06,2184155,371672,19581,14199
2020-04-07,2335686,403071,21763,16770
2020-04-08,2682313,435087,23559,18916
2020-04-09,2849408,469735,25410,21144
2020-04-10,3022809,503271,28790,23362
2020-04-11,3230555,532628,31270,25481
2020-04-12,3350686,559587,32988,27294
2020-04-13,3460043,585378,43482,29240
2020-04-14,3610268,613969,47763,31695
2020-04-15,3792134,643977,52096,34304
2020-04-16,3970581,675499,54703,36480
2020-04-17,4148443,708305,58545,38573
2020-04-18,4323296,736156,64840,40533
2020-04-19,4456860,761837,70337,42464
2020-04-20,4613783,790259,72329,44650
2020-04-21,4831866,816297,75204,47198
2020-04-22,5056665,845594,77366,49632
2020-04-23,5274655,879025,80203,52101
2020-04-24,5523075,912591,99079,54255
2020-04-25,5739765,944392,100372,55953
2020-04-26,5938192,971491,106988,57282
2020-04-27,6155821,994665,111424,58748
2020-04-28,6404416,1019339,115936,60989
2020-04-29,6697476,1047184,120720,63510
2020-04-30,7007403,1076689,153947,65832
2020-05-01,7302784,1110909,164015,67723
2020-05-02,7584644,1138911,175382,69415
2020-05-03,7766541,1163413,180152,70535
2020-05-04,7980474,1186815,187180,71868
2020-05-05,8331125,1211378,189791,74186
2020-05-06,8644081,1236525,189910,76550
2020-05-07,9012720,1264315,195036,78484
2020-05-08,9411824,1291197,198993,80231
2020-05-09,9730775,1316165,212534,81719
2020-05-10,9945864,1335021,216169,82612
2020-05-11,10298125,1354468,232733,83626
2020-05-12,10705444,1377226,230287,85253
2020-05-13,11129495,1398192,243430,87017
2020-05-14,11563707,1425500,246414,88800
2020-05-15,11993132,1450798,250747,90481
2020-05-16,12356980,1474811,268376,91697
2020-05-17,12661526,1492925,272265,92455
2020-05-18,12992381,1514937,283178,93627
2020-05-19,13447551,1535981,289392,95179
2020-05-20,13860529,1559486,294312,96705
2020-05-21,14371623,1585151,298418,97922
2020-05-22,14865303,1608589,350135,99166
2020-05-23,15247948,1629786,361239,100275
2020-05-24,15543628,1649900,366736,100897
2020-05-25,15940532,1668217,379157,101445
2020-05-26,16401091,1687741,384902,102107
2020-05-27,16919209,1706331,391508,103625
2020-05-28,17450484,1729279,399991,104803
2020-05-29,17963074,1753630,406446,105963
2020-05-30,18430863,1777473,416461,106926
2020-05-31,18800293,1796645,444758,107507
2020-06-01,19231184,1814009,458231,108283
2020-06-02,19694702,1835382,463868,109351
2020-06-03,20315876,1855359,479258,110358
2020-06-04,20917325,1877078,485002,111381
2020-06-05,21468927,1902245,491706,112295
2020-06-06,21973790,1924081,500849,112954
2020-06-07,22326706,1941868,506367,113392
2020-06-08,23008670,1959396,518522,113911
2020-06-09,23596241,1977765,524855,114861
2020-06-10,24237278,1998589,533504,115762
2020-06-11,24766920,2021786,540292,116633
2020-06-12,25305455,2046651,547386,117461
2020-06-13,25921971,2071911,556606,118220
2020-06-14,26276194,2091283,561816,118528
2020-06-15,26844515,2111207,576334,118922
2020-06-16,27492092,2135002,583503,119760
2020-06-17,28195627,2160906,592191,120504
2020-06-18,28897473,2189091,599115,121222
2020-06-19,29719629,2220401,606715,121892
2020-06-20,30331813,2252655,617460,122496
2020-06-21,30782333,2278761,622133,122781
2020-06-22,31371581,2309243,640198,123170
2020-06-23,32161015,2345008,647548,124017
2020-06-24,32889743,2379473,656161,124776
2020-06-25,33629248,2420009,663562,125327
2020-06-26,34405104,2465323,670809,125944
2020-06-27,35070603,2507672,679308,126448
2020-06-28,35560433,2547023,685164,126721
2020-06-29,36324954,2587708,705203,127098
2020-06-30,37194611,2633871,720631,127723
2020-07-01,38119240,2685191,729994,128417
2020-07-02,38866352,2740301,781970,129144
2020-07-03,39629160,2792849,790404,129804
2020-07-04,40161461,2838589,894325,130069
2020-07-05,40608758,2888566,906763,130357
2020-07-06,41503785,2933216,924148,130712
2020-07-07,42365187,2993372,936476,131934
2020-07-08,43299627,3052545,953462,132797
2020-07-09,44245776,3115816,969111,133800
2020-07-10,45195961,3183535,983185,134624
2020-07-11,46025699,3243686,995576,135314
2020-07-12,46746343,3302565,1006326,135773
2020-07-13,47583099,3362035,1031939,136140
2020-07-14,48509264,3428992,1049098,137066
2020-07-15,49387994,3496615,1075882,138034
2020-07-16,50506595,3573977,1090645,138977
2020-07-17,51526277,3645987,1107204,139907
2020-07-18,52397408,3708735,1122720,140775
2020-07-19,53009035,3769990,1131121,141222
2020-07-20,53763687,3831932,1160087,141736
2020-07-21,55009309,3896363,1182018,142843
2020-07-22,56074658,3967668,1210849,144059
2020-07-23,57127657,4036741,1233269,145153
2020-07-24,58036497,4109848,1261624,146285
2020-07-25,58979094,4176302,1279414,147184
2020-07-26,59624235,4231104,1297863,147656
2020-07-27,60357330,4287684,1325804,148776
2020-07-28,61239864,4353477,1355363,150150
2020-07-29,62112617,4424779,1389425,151582
2020-07-30,63123651,4492558,1414155,152791
2020-07-31,64101444,4559711,1438160,154034
2020-08-01,64882627,4617614,1461885,155149
2020-08-02,65469552,4664943,1468689,155552
2020-08-03,66165140,4709773,1513446,156082
2020-08-04,66957013,4767233,1528979,157460
2020-08-05,67849964,4820885,1577851,158836
2020-08-06,68766320,4880525,1598624,160089
2020-08-07,69690805,4938857,1623870,161331
2020-08-08,70518809,4994547,1643118,162408
2020-08-09,71238921,5040670,1656864,162919
2020-08-10,72037722,5090430,1670755,163446
2020-08-11,73009888,5137333,1714960,164510
2020-08-12,73980357,5194337,1753760,166015
2020-08-13,75037036,5246314,1774648,167085
2020-08-14,76027074,5310915,1796326,168423
2020-08-15,76878593,5358340,1818527,169457
2020-08-16,77509947,5399753,1833067,170028
2020-08-17,78190220,5435692,1865580,170474
2020-08-18,79056992,5481046,1898159,171799
2020-08-19,80029632,5528376,1925049,173152
2020-08-20,81009069,5572457,1947035,174231
2020-08-21,81954994,5620676,1965056,175336
2020-08-22,82749470,5665086,1985484,176318
2020-08-23,83367196,5699515,1997761,176768
2020-08-24,84021959,5737369,2020774,177210
2020-08-25,84909521,5775598,2053699,178449
2020-08-26,85853301,5820689,2084465,179674
2020-08-27,86722810,5866560,2101326,180785
2020-08-28,87859250,5912756,2118367,181756
2020-08-29,88723553,5958776,2140614,182714
2020-08-30,89346542,5994130,2153939,183024
2020-08-31,90051012,6028642,2184825,183597
2020-09-01,90922281,6071171,2202663,184664
2020-09-02,91906354,6111774,2231757,185720
2020-09-03,92909713,6155692,2266957,186790
2020-09-04,93947097,6205799,2283454,187755
2020-09-05,94807984,6249850,2302187,188538
2020-09-06,95410414,6280981,2315995,188941
2020-09-07,95860762,6305037,2333551,189208
