date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,218,2,0,0
2020-02-26,103,0,0,0
2020-02-27,126,3,0,0
2020-02-28,316,4,0,0
2020-02-29,886,2,0,0
2020-03-01,0,1,0,0
2020-03-02,0,7,0,0
2020-03-03,1034,7,0,0
2020-03-04,455,11,0,0
2020-03-05,573,16,2,0
2020-03-06,289,19,0,0
2020-03-07,308,18,0,0
2020-03-08,201,27,1,0
2020-03-09,225,33,0,0
2020-03-10,292,58,2,0
2020-03-11,336,110,1,0
2020-03-12,507,99,0,1
2020-03-13,713,208,0,0
2020-03-14,885,186,1,1
2020-03-15,700,198,3,1
2020-03-16,323,222,12,2
2020-03-17,1788,360,1,2
2020-03-18,1699,358,4,4
2020-03-19,1747,386,4,3
2020-03-20,1889,532,12,5
2020-03-21,2932,473,9,4
2020-03-22,2823,627,7,8
2020-03-23,2061,751,37,12
2020-03-24,4962,686,60,10
2020-03-25,4016,731,70,9
2020-03-26,3588,1065,103,16
2020-03-27,3557,830,152,18
2020-03-28,3198,679,131,18
2020-03-29,3691,530,171,14
2020-03-30,3014,621,222,20
2020-03-31,2889,573,233,17
2020-04-01,3519,512,215,11
2020-04-02,36327,463,296,20
2020-04-03,6153,417,273,17
2020-04-04,5791,295,485,21
2020-04-05,4282,173,491,22
2020-04-06,2880,275,465,28
2020-04-07,3939,307,583,28
2020-04-08,5520,269,466,17
2020-04-09,5532,293,728,21
2020-04-10,8456,372,824,22
2020-04-11,6232,211,540,15
2020-04-12,3902,110,380,12
2020-04-13,3535,89,359,21
2020-04-14,3384,147,290,12
2020-04-15,5005,118,465,15
2020-04-16,6015,127,888,22
2020-04-17,6456,97,718,13
2020-04-18,6660,62,510,15
2020-04-19,3311,48,287,15
2020-04-20,3706,60,130,7
2020-04-21,6069,64,340,17
2020-04-22,12776,81,357,11
2020-04-23,4041,63,366,4
2020-04-24,6851,83,178,6
2020-04-25,8403,58,231,14
2020-04-26,6542,42,179,9
2020-04-27,4906,65,80,4
2020-04-28,7041,52,218,12
2020-04-29,8176,55,199,6
2020-04-30,8645,65,128,6
2020-05-01,7680,30,185,3
2020-05-02,5540,32,88,2
2020-05-03,4736,16,58,5
2020-05-04,4716,26,78,3
2020-05-05,6812,45,146,3
2020-05-06,6371,53,177,4
2020-05-07,5640,33,59,2
2020-05-08,6175,47,138,5
2020-05-09,7621,38,92,3
2020-05-10,4818,11,63,2
2020-05-11,2976,73,70,2
2020-05-12,9830,38,87,1
2020-05-13,6938,61,156,1
2020-05-14,8354,43,101,3
2020-05-15,6745,82,66,0
2020-05-16,6042,17,53,1
2020-05-17,5116,26,39,1
2020-05-18,3364,46,51,2
2020-05-19,6562,51,64,1
2020-05-20,7157,45,204,3
2020-05-21,0,27,69,2
2020-05-22,10896,31,54,2
2020-05-23,5875,27,32,1
2020-05-24,5494,32,26,0
2020-05-25,3484,26,75,1
2020-05-26,5844,27,44,2
2020-05-27,7521,33,46,0
2020-05-28,8666,28,58,0
2020-05-29,6930,28,61,1
2020-05-30,7841,46,173,0
2020-05-31,6391,5,73,0
2020-06-01,3286,19,3,1
2020-06-02,4558,16,33,0
2020-06-03,6580,36,43,2
